"rgn_id","sector","year","wage_usd"
59,"Turismo",2020,5522795.1312
60,"Alojamiento",2020,142085.7392
61,"Alojamiento",2020,346033.7408
61,"Pesca",2020,3923229.832
64,"Alojamiento",2020,0
64,"Pesca",2020,150903.744
66,"Alojamiento",2020,1774604.0208
67,"Alojamiento",2020,1888454.4304
67,"Pesca",2020,449179.624
69,"Alojamiento",2020,136057.952
70,"Acuicultura",2020,6870768511.9264
70,"Alojamiento",2020,4216034.5296
70,"Pesca",2020,192426994.856
70,"Transporte",2020,533187059.8384
70,"Turismo",2020,3001141.5952
71,"Acuicultura",2020,175981133.1056
71,"Alojamiento",2020,3505621.5696
71,"Transporte",2020,54486655.7776
71,"Turismo",2020,5692587.92
72,"Acuicultura",2020,12071131.4592
72,"Alojamiento",2020,15441428.824
72,"Pesca",2020,44575264.2416
72,"Transporte",2020,357372.2032
72,"Turismo",2020,3201409.1712
73,"Acuicultura",2020,0
73,"Alojamiento",2020,414154.4352
75,"Acuicultura",2020,1706353.392
75,"Pesca",2020,1495448.7296
76,"Acuicultura",2020,309193015.496
76,"Alojamiento",2020,872351.2368
76,"Pesca",2020,41683277.4336
76,"Transporte",2020,21106667.576
78,"Acuicultura",2020,6729575.9328
78,"Transporte",2020,1473756.4288
79,"Alojamiento",2020,193197.616
79,"Pesca",2020,762609.272
83,"Alojamiento",2020,391721.1936
83,"Pesca",2020,82219739.016
85,"Alojamiento",2020,0
86,"Alojamiento",2020,2244731.8576
86,"Turismo",2020,1830727.1392
88,"Alojamiento",2020,0
88,"Pesca",2020,95023671.7168
89,"Alojamiento",2020,793029.6576
89,"Pesca",2020,0
92,"Alojamiento",2020,39569.7456
93,"Acuicultura",2020,0
93,"Alojamiento",2020,0
94,"Pesca",2020,977475.8096
95,"Alojamiento",2020,350403.8528
95,"Pesca",2020,0
99,"Acuicultura",2020,22193792.7328
99,"Alojamiento",2020,5611167.1584
99,"Pesca",2020,9933207.9264
99,"Transporte",2020,9043745.3632
99,"Turismo",2020,142830.7264
100,"Alojamiento",2020,2515555.6112
100,"Pesca",2020,1086396.3552
100,"Transporte",2020,224010737.5408
100,"Turismo",2020,2812789.3184
102,"Alojamiento",2020,5844279.8128
102,"Turismo",2020,10928366.504
1,"Alojamiento",2021,0
2,"Acuicultura",2021,21472713.912
2,"Alojamiento",2021,0
2,"Pesca",2021,9062609.2304
3,"Alojamiento",2021,0
3,"Turismo",2021,0
4,"Alojamiento",2021,0
4,"Pesca",2021,414936.2896
5,"Alojamiento",2021,0
5,"Pesca",2021,41516873.28
5,"Turismo",2021,0
6,"Acuicultura",2021,21094027.072
6,"Alojamiento",2021,0
6,"Pesca",2021,3026490.0432
6,"Transporte",2021,0
6,"Turismo",2021,0
7,"Pesca",2021,0
8,"Acuicultura",2021,22745396.1824
8,"Alojamiento",2021,0
8,"Pesca",2021,735340.1328
8,"Transporte",2021,0
9,"Acuicultura",2021,2526218.7744
9,"Alojamiento",2021,0
9,"Pesca",2021,15448430.8944
12,"Alojamiento",2021,0
14,"Alojamiento",2021,0
15,"Alojamiento",2021,0
15,"Pesca",2021,0
16,"Acuicultura",2021,56278361.2336
16,"Alojamiento",2021,0
16,"Transporte",2021,0
16,"Turismo",2021,0
17,"Alojamiento",2021,0
18,"Alojamiento",2021,0
20,"Acuicultura",2021,720633478.0624
20,"Alojamiento",2021,0
21,"Acuicultura",2021,10511421.4016
21,"Alojamiento",2021,0
21,"Pesca",2021,609136.5136
23,"Acuicultura",2021,2649412.7712
23,"Alojamiento",2021,0
24,"Alojamiento",2021,0
25,"Alojamiento",2021,0
26,"Alojamiento",2021,0
26,"Pesca",2021,4262393.2352
27,"Alojamiento",2021,0
27,"Turismo",2021,0
28,"Acuicultura",2021,1221338.8496
28,"Alojamiento",2021,0
28,"Pesca",2021,18904205.312
29,"Alojamiento",2021,0
29,"Pesca",2021,660414138.1376
30,"Alojamiento",2021,0
30,"Pesca",2021,0
31,"Acuicultura",2021,0
33,"Acuicultura",2021,17044686.2384
33,"Alojamiento",2021,0
33,"Pesca",2021,1167806.776
33,"Transporte",2021,0
34,"El Quisco",2021,0
34,"Alojamiento",2021,0
35,"Alojamiento",2021,0
36,"Alojamiento",2021,0
38,"Alojamiento",2021,0
39,"Acuicultura",2021,3681748.7728
39,"Alojamiento",2021,0
39,"Pesca",2021,0
42,"Alojamiento",2021,0
43,"Alojamiento",2021,0
43,"Pesca",2021,579397.7216
43,"Turismo",2021,0
44,"Alojamiento",2021,0
46,"Alojamiento",2021,0
46,"Turismo",2021,0
47,"Alojamiento",2021,0
49,"Pesca",2021,30154652.6672
50,"Alojamiento",2021,0
54,"Alojamiento",2021,0
54,"Pesca",2021,0
55,"Pesca",2021,157505494.6064
56,"Alojamiento",2021,0
57,"Acuicultura",2021,4778833.9184
57,"Pesca",2021,0
58,"Alojamiento",2021,0
59,"Acuicultura",2021,26794912.36
59,"Alojamiento",2021,0
59,"Pesca",2021,17304412.0656
59,"Transporte",2021,0
59,"Turismo",2021,0
60,"Alojamiento",2021,0
61,"Alojamiento",2021,0
61,"Pesca",2021,2351739.3552
64,"Alojamiento",2021,0
64,"Pesca",2021,0
66,"Alojamiento",2021,0
67,"Alojamiento",2021,0
67,"Pesca",2021,588152.3328
69,"Alojamiento",2021,0
70,"Acuicultura",2021,15281820147.352
70,"Alojamiento",2021,0
70,"Pesca",2021,291642164.1824
70,"Transporte",2021,108746454.6352
70,"Turismo",2021,0
71,"Acuicultura",2021,186673952.8208
71,"Alojamiento",2021,0
71,"Transporte",2021,0
71,"Turismo",2021,0
72,"Acuicultura",2021,9397827.8432
72,"Alojamiento",2021,0
72,"Pesca",2021,99711862.6784
72,"Transporte",2021,0
72,"Turismo",2021,0
73,"Acuicultura",2021,2685908.152
73,"Alojamiento",2021,0
75,"Acuicultura",2021,1723230.4768
75,"Pesca",2021,1431983.1936
76,"Acuicultura",2021,402902578.7984
76,"Alojamiento",2021,0
76,"Pesca",2021,8608536.6096
76,"Transporte",2021,0
