"rgn_id","habitat","year","area_km2"
29,"Playas y dunas",2018,1.17
30,"Macrocystis",2018,0.50723702148267
30,"Bosques y matorrales",2018,99.775
30,"Marismas y humedales",2018,0.765
30,"Playas y dunas",2018,0.46
31,"Macrocystis",2018,0.286953234371492
31,"Bosques y matorrales",2018,49.125
31,"Marismas y humedales",2018,0.085
31,"Playas y dunas",2018,0
32,"Macrocystis",2018,0
32,"Bosques y matorrales",2018,1.65
32,"Marismas y humedales",2018,1.13
32,"Playas y dunas",2018,3.62
33,"Macrocystis",2018,0.163807075719212
33,"Bosques y matorrales",2018,78.78
33,"Marismas y humedales",2018,0.1
33,"Playas y dunas",2018,0.12
34,"Macrocystis",2018,0.000452112958008072
34,"Bosques y matorrales",2018,2.09
34,"Marismas y humedales",2018,1.9
34,"Playas y dunas",2018,1.4
35,"Macrocystis",2018,0.00134174632695097
35,"Bosques y matorrales",2018,3.58
35,"Marismas y humedales",2018,9.32
35,"Playas y dunas",2018,1.4
36,"Macrocystis",2018,0.0875283278204415
36,"Bosques y matorrales",2018,9.33
36,"Marismas y humedales",2018,4.74
36,"Playas y dunas",2018,170.54
37,"Macrocystis",2018,0.0279860323229449
37,"Bosques y matorrales",2018,39.78
37,"Marismas y humedales",2018,0.075
37,"Playas y dunas",2018,0.185
38,"Macrocystis",2018,3.45951922871939
38,"Bosques y matorrales",2018,
38,"Marismas y humedales",2018,
38,"Playas y dunas",2018,
39,"Macrocystis",2018,0.381819383995909
39,"Bosques y matorrales",2018,320.87
39,"Marismas y humedales",2018,1.165
39,"Playas y dunas",2018,10.405
40,"Macrocystis",2018,0.0693455796547527
40,"Bosques y matorrales",2018,14.79
40,"Marismas y humedales",2018,1.28
40,"Playas y dunas",2018,0.17
41,"Macrocystis",2018,0.153734331632927
41,"Bosques y matorrales",2018,0.72
41,"Marismas y humedales",2018,2.36
41,"Playas y dunas",2018,219.94
42,"Macrocystis",2018,0.0648209580240909
42,"Bosques y matorrales",2018,6.21
42,"Marismas y humedales",2018,3.43
42,"Playas y dunas",2018,176.5
43,"Macrocystis",2018,0.131415117145005
43,"Bosques y matorrales",2018,0.04
43,"Marismas y humedales",2018,2.6
43,"Playas y dunas",2018,307.16
44,"Macrocystis",2018,0.0687955663867348
44,"Bosques y matorrales",2018,12.49
44,"Marismas y humedales",2018,2.9
44,"Playas y dunas",2018,57.57
45,"Macrocystis",2018,0.0130451927185004
45,"Bosques y matorrales",2018,25.17
45,"Marismas y humedales",2018,0
45,"Playas y dunas",2018,9.11
46,"Macrocystis",2018,0.0128995096594485
46,"Bosques y matorrales",2018,13.29
46,"Marismas y humedales",2018,38.1
46,"Playas y dunas",2018,5.61
47,"Macrocystis",2018,0.119746531885012
47,"Bosques y matorrales",2018,51.985
47,"Marismas y humedales",2018,0.095
47,"Playas y dunas",2018,1.8
48,"Macrocystis",2018,0.375200483151059
48,"Bosques y matorrales",2018,5.9
48,"Marismas y humedales",2018,1.05
48,"Playas y dunas",2018,0.15
49,"Macrocystis",2018,0.465424555865694
49,"Bosques y matorrales",2018,48.72
49,"Marismas y humedales",2018,3.7
49,"Playas y dunas",2018,5.76
50,"Macrocystis",2018,0.00261646855106882
50,"Bosques y matorrales",2018,17.67
50,"Marismas y humedales",2018,2.83
50,"Playas y dunas",2018,4.07
51,"Macrocystis",2018,0.00484352992657334
51,"Bosques y matorrales",2018,13.18
51,"Marismas y humedales",2018,6.1
51,"Playas y dunas",2018,1.89
52,"Macrocystis",2018,0.000404532010323637
52,"Bosques y matorrales",2018,1.65
52,"Marismas y humedales",2018,0.6
52,"Playas y dunas",2018,1.8
53,"Macrocystis",2018,0.156122812691811
53,"Bosques y matorrales",2018,72.34
53,"Marismas y humedales",2018,1.61
53,"Playas y dunas",2018,0.88
54,"Macrocystis",2018,0.257864057386507
54,"Bosques y matorrales",2018,35.9
54,"Marismas y humedales",2018,61
54,"Playas y dunas",2018,8.9
55,"Macrocystis",2018,0.0994344276402916
55,"Bosques y matorrales",2018,12.77
55,"Marismas y humedales",2018,0.67
55,"Playas y dunas",2018,0.29
56,"Macrocystis",2018,0.0787916621524908
56,"Bosques y matorrales",2018,50.985
56,"Marismas y humedales",2018,0.735
56,"Playas y dunas",2018,1.04
57,"Macrocystis",2018,1.21640738893705
57,"Bosques y matorrales",2018,107.555
57,"Marismas y humedales",2018,3.245
57,"Playas y dunas",2018,3.135
58,"Macrocystis",2018,0.0153186860150831
58,"Bosques y matorrales",2018,0
58,"Marismas y humedales",2018,1.34
58,"Playas y dunas",2018,219.6
59,"Macrocystis",2018,125.011968193419
59,"Bosques y matorrales",2018,8971.995
59,"Marismas y humedales",2018,4827.25
59,"Playas y dunas",2018,95.645
60,"Macrocystis",2018,0.0125717654897612
60,"Bosques y matorrales",2018,13.03
60,"Marismas y humedales",2018,9.3
60,"Playas y dunas",2018,1.09
61,"Macrocystis",2018,0.131722647389812
61,"Bosques y matorrales",2018,14
61,"Marismas y humedales",2018,151.2
61,"Playas y dunas",2018,44.03
62,"Macrocystis",2018,0.0143967397732861
62,"Bosques y matorrales",2018,16.9
62,"Marismas y humedales",2018,11.5
62,"Playas y dunas",2018,44.03
63,"Macrocystis",2018,0.0114632747269941
63,"Bosques y matorrales",2018,6.03
63,"Marismas y humedales",2018,1.79
63,"Playas y dunas",2018,1.23
64,"Macrocystis",2018,0.0689198369899029
64,"Bosques y matorrales",2018,8.24
64,"Marismas y humedales",2018,4.18
64,"Playas y dunas",2018,2
65,"Macrocystis",2018,0.190447454760145
65,"Bosques y matorrales",2018,3.45
65,"Marismas y humedales",2018,0.07
65,"Playas y dunas",2018,0.05
66,"Macrocystis",2018,0.0359063951822681
66,"Bosques y matorrales",2018,45.22
66,"Marismas y humedales",2018,11.52
66,"Playas y dunas",2018,5.53
67,"Macrocystis",2018,3.26607746049544
67,"Bosques y matorrales",2018,77.395
67,"Marismas y humedales",2018,25.81
67,"Playas y dunas",2018,4.205
68,"Macrocystis",2018,1.55961489648352
68,"Bosques y matorrales",2018,28.24
68,"Marismas y humedales",2018,16.6
68,"Playas y dunas",2018,18.34
69,"Macrocystis",2018,0.0141503092544699
69,"Bosques y matorrales",2018,11.59
69,"Marismas y humedales",2018,7.7
69,"Playas y dunas",2018,3.6
70,"Macrocystis",2018,0.451876709234902
70,"Bosques y matorrales",2018,89.725
70,"Marismas y humedales",2018,0.85
70,"Playas y dunas",2018,4.16
71,"Macrocystis",2018,0.00683840400870689
71,"Bosques y matorrales",2018,33.31
71,"Marismas y humedales",2018,0.02
71,"Playas y dunas",2018,0.17
72,"Macrocystis",2018,85.2431089517499
72,"Bosques y matorrales",2018,2495.91
72,"Marismas y humedales",2018,1117.27
72,"Playas y dunas",2018,288.16
73,"Macrocystis",2018,0.278258724942078
73,"Bosques y matorrales",2018,60.63
73,"Marismas y humedales",2018,0.56
73,"Playas y dunas",2018,3.575
74,"Macrocystis",2018,0.126309737446419
74,"Bosques y matorrales",2018,51.155
74,"Marismas y humedales",2018,0.165
74,"Playas y dunas",2018,0.125
75,"Macrocystis",2018,5.2883370771494
75,"Bosques y matorrales",2018,163.18
75,"Marismas y humedales",2018,0.795
75,"Playas y dunas",2018,0.555
