"rgn_id","specie","trend"
13,"Haematopus palliatus","Estable"
13,"Leucocarbo bougainvillii","Estable"
13,"Leucophaeus pipixcan","Decreciendo"
13,"Numenius phaeopus","Estable"
13,"Otaria byronia","Estable"
13,"Pelecanus thagus","Creciendo"
13,"Phalacrocorax gaimardi","Decreciendo"
13,"Plegadis chihi","Decreciendo"
13,"Puffinus creatopus","Decreciendo"
13,"Puffinus griseus","Decreciendo"
13,"Spheniscus humboldti","Estable"
13,"Sula variegata","Decreciendo"
13,"Thalassarche chrysostoma","Estable"
13,"Thalasseus elegans","Estable"
13,"Tringa flavipes","Estable"
14,"Charadrius collaris","Decreciendo"
14,"Charadrius modestus","Decreciendo"
14,"Charadrius nivosus","Decreciendo"
14,"Chroicocephalus serranus","Decreciendo"
14,"Coscoroba coscoroba","Decreciendo"
14,"Cygnus melancoryphus","Decreciendo"
14,"Delphinus delphis","Estable"
14,"Falco peregrinus","Estable"
14,"Haematopus palliatus","Estable"
14,"Heteronetta atricapilla","Estable"
14,"Ixobrychus involucris","Creciendo"
14,"Larosterna inca","Estable"
14,"Leucocarbo bougainvillii","Estable"
14,"Leucophaeus modestus","Decreciendo"
14,"Leucophaeus pipixcan","Decreciendo"
14,"Lontra felina","Estable"
14,"Mytilus chilensis","Estable"
14,"Numenius phaeopus","Estable"
14,"Pandion haliaetus","Estable"
14,"Pelecanus thagus","Creciendo"
14,"Phalacrocorax gaimardi","Decreciendo"
14,"Phoenicopterus chilensis","Estable"
14,"Plegadis chihi","Decreciendo"
14,"Puffinus griseus","Decreciendo"
14,"Spheniscus humboldti","Estable"
14,"Sula variegata","Decreciendo"
14,"Thalassarche melanophris","Estable"
14,"Thalasseus elegans","Estable"
14,"Tringa flavipes","Estable"
15,"Charadrius collaris","Decreciendo"
15,"Charadrius nivosus","Decreciendo"
15,"Coscoroba coscoroba","Decreciendo"
15,"Diomedea epomophora","Decreciendo"
15,"Falco peregrinus","Estable"
15,"Geranoaetus melanoleucus","Estable"
15,"Grimothea johni","Estable"
15,"Haematopus palliatus","Estable"
15,"Heterocarpus reedi","Estable"
15,"Larosterna inca","Estable"
15,"Leucocarbo bougainvillii","Estable"
15,"Leucophaeus modestus","Decreciendo"
15,"Leucophaeus pipixcan","Decreciendo"
15,"Lontra felina","Estable"
15,"Macronectes giganteus","Decreciendo"
15,"Numenius phaeopus","Estable"
15,"Pelecanoides garnotii","Creciendo"
15,"Pelecanus thagus","Creciendo"
15,"Phalacrocorax gaimardi","Decreciendo"
15,"Puffinus creatopus","Decreciendo"
15,"Puffinus griseus","Decreciendo"
15,"Spheniscus humboldti","Estable"
15,"Sula variegata","Decreciendo"
15,"Thalassarche melanophris","Estable"
16,"Charadrius modestus","Decreciendo"
16,"Chloephaga hybrida","Decreciendo"
16,"Coscoroba coscoroba","Decreciendo"
16,"Concholepas concholepas","Decreciendo"
16,"Cygnus melancoryphus","Decreciendo"
16,"Diomedea epomophora","Decreciendo"
16,"Eleginops maclovinus","Decreciendo"
16,"Falco peregrinus","Estable"
16,"Geranoaetus melanoleucus","Estable"
16,"Grampus griseus","Estable"
16,"Haematopus palliatus","Estable"
16,"Leucophaeus modestus","Decreciendo"
16,"Leucophaeus pipixcan","Decreciendo"
16,"Macronectes giganteus","Decreciendo"
16,"Numenius phaeopus","Estable"
16,"Otaria byronia","Estable"
16,"Pandion haliaetus","Estable"
16,"Pelecanus thagus","Creciendo"
16,"Phalacrocorax gaimardi","Decreciendo"
16,"Phoenicopterus chilensis","Estable"
16,"Plegadis chihi","Decreciendo"
16,"Puffinus creatopus","Decreciendo"
16,"Puffinus griseus","Decreciendo"
16,"Speculanas specularis","Decreciendo"
16,"Spheniscus humboldti","Estable"
16,"Sula variegata","Decreciendo"
16,"Tachyeres patachonicus","Estable"
16,"Tachyeres pteneres","Decreciendo"
16,"Thalassarche melanophris","Estable"
16,"Thalasseus elegans","Estable"
16,"Tringa flavipes","Estable"
17,"Aulacomya atra","Estable"
17,"Charadrius collaris","Decreciendo"
17,"Charadrius modestus","Decreciendo"
17,"Chloephaga hybrida","Decreciendo"
17,"Coscoroba coscoroba","Decreciendo"
17,"Cygnus melancoryphus","Decreciendo"
17,"Desmophyllum dianthus","Decreciendo"
17,"Diomedea epomophora","Decreciendo"
17,"Eleginops maclovinus","Decreciendo"
17,"Ensis macha","Estable"
17,"Falco peregrinus","Estable"
17,"Genypterus blacodes","Creciendo"
17,"Geranoaetus melanoleucus","Estable"
17,"Haematopus palliatus","Estable"
17,"Lagenorhynchus australis","Estable"
17,"Leucophaeus pipixcan","Decreciendo"
17,"Macronectes giganteus","Decreciendo"
17,"Merluccius australis","Estable"
17,"Mytilus chilensis","Estable"
17,"Numenius phaeopus","Estable"
17,"Otaria byronia","Estable"
17,"Pelecanus thagus","Creciendo"
17,"Phalacrocorax gaimardi","Decreciendo"
17,"Phoenicopterus chilensis","Estable"
17,"Puffinus creatopus","Decreciendo"
17,"Puffinus griseus","Decreciendo"
17,"Spheniscus humboldti","Estable"
17,"Sula variegata","Decreciendo"
17,"Tachyeres patachonicus","Estable"
17,"Tachyeres pteneres","Decreciendo"
17,"Tagelus dombeii","Decreciendo"
17,"Thalassarche melanophris","Estable"
17,"Tringa flavipes","Estable"
17,"Vultur gryphus","Estable"
18,"Charadrius nivosus","Decreciendo"
18,"Coscoroba coscoroba","Decreciendo"
18,"Cryphiops caementarius","Estable"
18,"Delphinus delphis","Estable"
18,"Falco peregrinus","Estable"
18,"Haematopus palliatus","Estable"
18,"Larosterna inca","Estable"
18,"Leucocarbo bougainvillii","Estable"
18,"Leucophaeus modestus","Decreciendo"
18,"Leucophaeus pipixcan","Decreciendo"
18,"Lontra felina","Estable"
18,"Macronectes giganteus","Decreciendo"
18,"Mirounga leonina","Creciendo"
18,"Mugil cephalus","Estable"
18,"Numenius phaeopus","Estable"
18,"Otaria byronia","Estable"
18,"Pandion haliaetus","Estable"
18,"Pelecanoides garnotii","Creciendo"
18,"Pelecanus thagus","Creciendo"
18,"Phaethon rubricauda","Creciendo"
18,"Phalacrocorax gaimardi","Decreciendo"
18,"Phoenicopterus chilensis","Estable"
18,"Puffinus griseus","Decreciendo"
18,"Spheniscus humboldti","Estable"
18,"Sula variegata","Decreciendo"
18,"Thalassarche chrysostoma","Estable"
18,"Thalasseus elegans","Estable"
19,"Charadrius collaris","Decreciendo"
