"rgn_id","Sector","year","jobs"
77,"Pesca","2018",51
78,"Acuicultura","2018",250
78,"Alojamiento","2018",7
78,"Pesca","2018",0
78,"Transporte","2018",84
78,"Turismo","2018",0
79,"Acuicultura","2018",47
79,"Alojamiento","2018",27
79,"Pesca","2018",372
79,"Transporte","2018",106
79,"Turismo","2018",23
80,"Alojamiento","2018",6
80,"Transporte","2018",1
81,"Alojamiento","2018",0
82,"Alojamiento","2018",3
82,"Transporte","2018",0
82,"Turismo","2018",0
83,"Acuicultura","2018",78
83,"Alojamiento","2018",45
83,"Pesca","2018",762
83,"Transporte","2018",10
83,"Turismo","2018",19
84,"Alojamiento","2018",12
85,"Acuicultura","2018",3
85,"Alojamiento","2018",9
85,"Pesca","2018",3
85,"Transporte","2018",1
85,"Turismo","2018",1
86,"Alojamiento","2018",337
86,"Pesca","2018",0
86,"Turismo","2018",421
87,"Alojamiento","2018",2
87,"Pesca","2018",55
87,"Transporte","2018",212
87,"Turismo","2018",2
88,"Acuicultura","2018",93
88,"Alojamiento","2018",21
88,"Pesca","2018",3867
88,"Transporte","2018",99
88,"Turismo","2018",18
89,"Acuicultura","2018",3
89,"Alojamiento","2018",29
89,"Pesca","2018",33
89,"Turismo","2018",0
90,"Alojamiento","2018",10
90,"Turismo","2018",2
91,"Alojamiento","2018",9
91,"Turismo","2018",0
92,"Acuicultura","2018",0
92,"Alojamiento","2018",8
92,"Pesca","2018",19
92,"Transporte","2018",0
92,"Turismo","2018",0
93,"Acuicultura","2018",51
93,"Alojamiento","2018",17
93,"Pesca","2018",10
93,"Transporte","2018",29
93,"Turismo","2018",14
94,"Acuicultura","2018",4
94,"Alojamiento","2018",11
94,"Pesca","2018",35
94,"Transporte","2018",2
94,"Turismo","2018",0
95,"Acuicultura","2018",1
95,"Alojamiento","2018",22
95,"Pesca","2018",954
95,"Transporte","2018",0
95,"Turismo","2018",1
96,"Alojamiento","2018",52
96,"Transporte","2018",0
96,"Turismo","2018",3
97,"Alojamiento","2018",2
97,"Transporte","2018",1
97,"Turismo","2018",1
98,"Alojamiento","2018",2
99,"Acuicultura","2018",743
99,"Alojamiento","2018",395
99,"Pesca","2018",703
99,"Transporte","2018",346
99,"Turismo","2018",47
100,"Acuicultura","2018",21
100,"Alojamiento","2018",429
100,"Pesca","2018",150
100,"Transporte","2018",544
100,"Turismo","2018",54
101,"Alojamiento","2018",37
101,"Pesca","2018",12
101,"Turismo","2018",0
102,"Acuicultura","2018",31
102,"Alojamiento","2018",375
102,"Pesca","2018",4
102,"Transporte","2018",229
102,"Turismo","2018",310
103,"Acuicultura","2018",0
103,"Alojamiento","2018",1
103,"Pesca","2018",0
1,"Alojamiento","2019",22
1,"Pesca","2019",0
2,"Acuicultura","2019",817
2,"Alojamiento","2019",93
2,"Pesca","2019",170
2,"Transporte","2019",208
2,"Turismo","2019",5
3,"Acuicultura","2019",141
3,"Alojamiento","2019",316
3,"Pesca","2019",172
3,"Transporte","2019",94
3,"Turismo","2019",35
4,"Acuicultura","2019",4
4,"Alojamiento","2019",98
4,"Pesca","2019",39
4,"Transporte","2019",0
4,"Turismo","2019",10
5,"Acuicultura","2019",17
5,"Alojamiento","2019",217
5,"Pesca","2019",973
5,"Transporte","2019",135
5,"Turismo","2019",112
6,"Acuicultura","2019",1059
6,"Alojamiento","2019",90
6,"Pesca","2019",64
6,"Transporte","2019",448
6,"Turismo","2019",31
7,"Acuicultura","2019",0
7,"Alojamiento","2019",6
7,"Pesca","2019",52
7,"Transporte","2019",8
7,"Turismo","2019",129
8,"Acuicultura","2019",967
8,"Alojamiento","2019",27
8,"Pesca","2019",407
8,"Transporte","2019",189
8,"Turismo","2019",0
9,"Acuicultura","2019",163
9,"Alojamiento","2019",19
9,"Pesca","2019",916
9,"Transporte","2019",90
9,"Turismo","2019",26
11,"Alojamiento","2019",8
11,"Pesca","2019",0
12,"Alojamiento","2019",18
12,"Pesca","2019",1
12,"Turismo","2019",13
14,"Alojamiento","2019",36
14,"Pesca","2019",13
14,"Turismo","2019",18
15,"Alojamiento","2019",52
15,"Pesca","2019",1
15,"Turismo","2019",22
16,"Acuicultura","2019",2593
16,"Alojamiento","2019",87
16,"Pesca","2019",227
16,"Transporte","2019",647
16,"Turismo","2019",14
17,"Acuicultura","2019",10
17,"Alojamiento","2019",65
17,"Pesca","2019",6
17,"Transporte","2019",25
19,"Alojamiento","2019",22
19,"Pesca","2019",1
18,"Acuicultura","2019",7
18,"Alojamiento","2019",8
18,"Pesca","2019",48
18,"Turismo","2019",1
20,"Acuicultura","2019",4307
20,"Alojamiento","2019",20
20,"Pesca","2019",751
20,"Transporte","2019",177
20,"Turismo","2019",2
21,"Acuicultura","2019",369
21,"Alojamiento","2019",76
21,"Pesca","2019",11
21,"Transporte","2019",41
21,"Turismo","2019",4
23,"Acuicultura","2019",148
23,"Alojamiento","2019",21
23,"Pesca","2019",1
23,"Transporte","2019",2
23,"Turismo","2019",28
24,"Alojamiento","2019",12
25,"Acuicultura","2019",2
25,"Alojamiento","2019",28
25,"Turismo","2019",3
26,"Acuicultura","2019",1
26,"Alojamiento","2019",61
26,"Pesca","2019",179
26,"Turismo","2019",0
27,"Acuicultura","2019",8
27,"Alojamiento","2019",139
27,"Pesca","2019",40
27,"Turismo","2019",25
28,"Acuicultura","2019",326
28,"Alojamiento","2019",149
28,"Pesca","2019",1304
28,"Transporte","2019",53
28,"Turismo","2019",7
29,"Acuicultura","2019",157
29,"Alojamiento","2019",13
29,"Pesca","2019",4623
29,"Transporte","2019",561
29,"Turismo","2019",0
30,"Acuicultura","2019",36
30,"Alojamiento","2019",3
30,"Pesca","2019",28
30,"Transporte","2019",123
31,"Acuicultura","2019",427
31,"Alojamiento","2019",1
31,"Pesca","2019",0
31,"Transporte","2019",0
32,"Alojamiento","2019",1
32,"Pesca","2019",1
33,"Acuicultura","2019",1300
33,"Alojamiento","2019",34
33,"Pesca","2019",44
33,"Transporte","2019",197
33,"Turismo","2019",0
34,"Alojamiento","2019",55
34,"Pesca","2019",24
34,"Turismo","2019",0
35,"Acuicultura","2019",34
35,"Alojamiento","2019",20
35,"Pesca","2019",0
35,"Turismo","2019",13
36,"Acuicultura","2019",23
36,"Alojamiento","2019",6
36,"Pesca","2019",2
36,"Transporte","2019",3
36,"Turismo","2019",3
37,"Alojamiento","2019",9
37,"Pesca","2019",0
37,"Transporte","2019",4
37,"Turismo","2019",1
38,"Acuicultura","2019",59
38,"Alojamiento","2019",14
38,"Pesca","2019",3
38,"Transporte","2019",56
39,"Acuicultura","2019",118
39,"Alojamiento","2019",35
39,"Pesca","2019",71
39,"Transporte","2019",6
39,"Turismo","2019",14
40,"Acuicultura","2019",2
40,"Alojamiento","2019",8
40,"Pesca","2019",205
40,"Transporte","2019",89
40,"Turismo","2019",1
41,"Alojamiento","2019",5
41,"Pesca","2019",2
41,"Turismo","2019",2
42,"Acuicultura","2019",12
42,"Alojamiento","2019",17
42,"Pesca","2019",4
42,"Turismo","2019",2
43,"Acuicultura","2019",25
43,"Alojamiento","2019",430
43,"Pesca","2019",136
43,"Transporte","2019",132
43,"Turismo","2019",72
44,"Acuicultura","2019",0
44,"Alojamiento","2019",20
44,"Pesca","2019",4
44,"Turismo","2019",1
45,"Acuicultura","2019",4
45,"Alojamiento","2019",9
45,"Pesca","2019",10
45,"Turismo","2019",22
46,"Acuicultura","2019",139
46,"Alojamiento","2019",337
46,"Pesca","2019",87
46,"Transporte","2019",0
46,"Turismo","2019",59
47,"Acuicultura","2019",104
47,"Alojamiento","2019",42
47,"Transporte","2019",2
47,"Turismo","2019",2
48,"Alojamiento","2019",2
49,"Alojamiento","2019",9
49,"Pesca","2019",262
49,"Transporte","2019",8
49,"Turismo","2019",2
50,"Alojamiento","2019",49
50,"Pesca","2019",18
50,"Turismo","2019",0
51,"Alojamiento","2019",12
51,"Turismo","2019",0
52,"Alojamiento","2019",5
53,"Acuicultura","2019",0
53,"Alojamiento","2019",13
53,"Pesca","2019",0
53,"Transporte","2019",0
53,"Turismo","2019",0
