"rgn_id","year","habitat","km2"
62,"2018","Seagrass",41.9788744039
63,"2018","Seagrass",
64,"2018","Seagrass",
65,"2018","Seagrass",
66,"2018","Seagrass",
67,"2018","Seagrass",
68,"2018","Seagrass",
69,"2018","Seagrass",133.775940176
70,"2018","Seagrass",
71,"2018","Seagrass",
72,"2018","Seagrass",
73,"2018","Seagrass",
74,"2018","Seagrass",
75,"2018","Seagrass",
76,"2018","Seagrass",
77,"2018","Seagrass",
78,"2018","Seagrass",
79,"2018","Seagrass",95.8332870404
80,"2018","Seagrass",
81,"2018","Seagrass",
82,"2018","Seagrass",5.87009259162
83,"2018","Seagrass",
84,"2018","Seagrass",
85,"2018","Seagrass",
86,"2018","Seagrass",
87,"2018","Seagrass",
88,"2018","Seagrass",
89,"2018","Seagrass",181.701718096
90,"2018","Seagrass",0.45689403043
91,"2018","Seagrass",
92,"2018","Seagrass",
93,"2018","Seagrass",4.27995606781
94,"2018","Seagrass",
95,"2018","Seagrass",
96,"2018","Seagrass",
97,"2018","Seagrass",
98,"2018","Seagrass",
99,"2018","Seagrass",
100,"2018","Seagrass",70.3461700672
101,"2018","Seagrass",
102,"2018","Seagrass",131.025102187
103,"2018","Seagrass",126.3754302
1,"2019","Seagrass",0.966796
2,"2019","Seagrass",
3,"2019","Seagrass",0.530034
4,"2019","Seagrass",192.662074
5,"2019","Seagrass",1.096722
6,"2019","Seagrass",
7,"2019","Seagrass",
8,"2019","Seagrass",
9,"2019","Seagrass",387.896743
10,"2019","Seagrass",2.510297
11,"2019","Seagrass",62.921556
12,"2019","Seagrass",
13,"2019","Seagrass",24.540125
14,"2019","Seagrass",
15,"2019","Seagrass",70.799962
16,"2019","Seagrass",
17,"2019","Seagrass",
18,"2019","Seagrass",1.025663
19,"2019","Seagrass",
20,"2019","Seagrass",
21,"2019","Seagrass",
22,"2019","Seagrass",
