"rgn_id","Sector","year","gdp_usd"
98,"Turismo","2018",
99,"Acuicultura","2018",0
99,"Alojamiento","2018",7371561.5712
99,"Pesca","2018",20469524.5792
99,"Transporte","2018",5178709.9568
99,"Turismo","2018",851640.8624
100,"Acuicultura","2018",
100,"Alojamiento","2018",5082634.9328
100,"Pesca","2018",2241902.9744
100,"Transporte","2018",252355386.9312
100,"Turismo","2018",7173556.3824
101,"Alojamiento","2018",
101,"Pesca","2018",
101,"Turismo","2018",
102,"Acuicultura","2018",
102,"Alojamiento","2018",5901135.7792
102,"Pesca","2018",
102,"Transporte","2018",
102,"Turismo","2018",23727485.7872
103,"Zapallar","2018",
103,"Acuicultura","2018",
103,"Alojamiento","2018",
103,"Pesca","2018",
103,"Turismo","2018",
1,"Alojamiento","2019",273193.5952
1,"Pesca","2019",
1,"Turismo","2019",
2,"Acuicultura","2019",25360812
2,"Alojamiento","2019",1416888.3232
2,"Pesca","2019",5817662.5936
2,"Transporte","2019",
2,"Turismo","2019",
3,"Acuicultura","2019",
3,"Alojamiento","2019",15132067.6064
3,"Pesca","2019",
3,"Transporte","2019",
3,"Turismo","2019",1427701.6528
4,"Acuicultura","2019",
4,"Alojamiento","2019",3066270.2016
4,"Pesca","2019",771627.3488
4,"Transporte","2019",
4,"Turismo","2019",
5,"Acuicultura","2019",
5,"Alojamiento","2019",1852922.5424
5,"Pesca","2019",20073468.3424
5,"Transporte","2019",
5,"Turismo","2019",2355222.856
6,"Acuicultura","2019",20543308.4352
6,"Alojamiento","2019",2008097.936
6,"Pesca","2019",1475829.984
6,"Transporte","2019",9239458.0416
6,"Turismo","2019",164530.6704
7,"Acuicultura","2019",
7,"Alojamiento","2019",
7,"Pesca","2019",3783590.816
7,"Transporte","2019",
7,"Turismo","2019",
8,"Acuicultura","2019",103039685.432
8,"Alojamiento","2019",0
8,"Pesca","2019",1244851.5808
8,"Transporte","2019",2713171.896
8,"Turismo","2019",
9,"Acuicultura","2019",3275959.5952
9,"Alojamiento","2019",460901.5952
9,"Pesca","2019",12306781.2064
9,"Transporte","2019",
9,"Turismo","2019",
11,"Alojamiento","2019",
11,"Pesca","2019",
12,"Alojamiento","2019",189443.9056
12,"Pesca","2019",
12,"Turismo","2019",
14,"Alojamiento","2019",481586.3424
14,"Pesca","2019",
14,"Transporte","2019",
14,"Turismo","2019",
15,"Alojamiento","2019",0
15,"Pesca","2019",0
15,"Turismo","2019",
16,"Acuicultura","2019",40511460.6752
16,"Alojamiento","2019",1917856.472
16,"Pesca","2019",
16,"Transporte","2019",12625561.0944
16,"Turismo","2019",0
17,"Acuicultura","2019",
17,"Alojamiento","2019",1229277.8864
17,"Pesca","2019",
17,"Transporte","2019",
17,"Turismo","2019",
19,"Alojamiento","2019",
19,"Pesca","2019",
18,"Acuicultura","2019",
18,"Alojamiento","2019",0
18,"Pesca","2019",
18,"Turismo","2019",
20,"Acuicultura","2019",739122847.7952
20,"Alojamiento","2019",241487.8032
20,"Pesca","2019",
20,"Transporte","2019",
20,"Turismo","2019",
21,"Acuicultura","2019",8257560.416
21,"Alojamiento","2019",1526613.6528
21,"Pesca","2019",0
21,"Transporte","2019",
21,"Turismo","2019",
23,"Acuicultura","2019",2536382.8816
23,"Alojamiento","2019",150198.3216
23,"Pesca","2019",
23,"Transporte","2019",
23,"Turismo","2019",
24,"Alojamiento","2019",0
24,"Pesca","2019",
24,"Turismo","2019",
25,"Acuicultura","2019",
25,"Alojamiento","2019",271434.3104
25,"Pesca","2019",
