"rgn_id","specie","status"
25,"Coscoroba coscoroba","LC"
25,"Cygnus melancoryphus","LC"
25,"Diomedea epomophora","VU"
25,"Diomedea exulans","VU"
25,"Dosidicus gigas","EN"
25,"Eleginops maclovinus","LC"
25,"Eubalaena australis","EN"
25,"Falco peregrinus","LC"
25,"Geranoaetus melanoleucus","LC"
25,"Haematopus palliatus","NT"
25,"Heteronetta atricapilla","LC"
25,"Ixobrychus involucris","LC"
25,"Larosterna inca","NT"
25,"Leucocarbo bougainvillii","NT"
25,"Leucophaeus modestus","VU"
25,"Leucophaeus pipixcan","LC"
25,"Macronectes giganteus","VU"
25,"Mytilus chilensis","NT"
25,"Numenius phaeopus","LC"
25,"Otaria byronia","LC"
25,"Pelecanoides garnotii","EN"
25,"Pelecanus thagus","NT"
25,"Phalacrocorax gaimardi","NT"
25,"Plegadis chihi","NT"
25,"Pterodroma defilippiana","VU"
25,"Puffinus creatopus","EN"
25,"Puffinus griseus","NT"
25,"Spheniscus humboldti","VU"
25,"Sula variegata","LC"
25,"Thalassarche bulleri","NT"
25,"Thalassarche eremita","VU"
25,"Thalassarche melanophris","LC"
25,"Thalassarche salvini","VU"
25,"Thalasseus elegans","NT"
25,"Tringa flavipes","LC"
26,"Charadrius collaris","NT"
26,"Charadrius modestus","LC"
26,"Charadrius nivosus","VU"
26,"Chroicocephalus serranus","LC"
26,"Coscoroba coscoroba","LC"
26,"Cygnus melancoryphus","LC"
26,"Diomedea epomophora","VU"
26,"Diomedea exulans","VU"
26,"Engraulis ringens","VU"
26,"Falco peregrinus","LC"
26,"Haematopus palliatus","NT"
26,"Heteronetta atricapilla","LC"
26,"Ixobrychus involucris","LC"
26,"Larosterna inca","NT"
26,"Laterallus jamaicensis","NT"
26,"Leucocarbo bougainvillii","NT"
26,"Leucophaeus modestus","VU"
26,"Leucophaeus pipixcan","LC"
26,"Macronectes giganteus","VU"
26,"Mytilus chilensis","NT"
