"","rgn_id","rgn_name","Year","Xao"
"397",86,"San pedro de la paz",2017,0.430815185355627
"398",86,"San pedro de la paz",2018,0.0646478407286939
"399",86,"San pedro de la paz",2019,0.0645645645645646
"400",86,"San pedro de la paz",2020,0.131119625372499
"401",86,"San pedro de la paz",2021,0.174291938997821
"402",87,"Santo domingo",2017,0.417854562996548
"403",87,"Santo domingo",2018,0.177797540689367
"404",87,"Santo domingo",2019,0.0809005346422652
"405",87,"Santo domingo",2020,0.239874914092304
"406",87,"Santo domingo",2021,0.140817861643845
"407",88,"Talcahuano",2017,0.263048806958399
"408",88,"Talcahuano",2018,0.106823221500581
"409",88,"Talcahuano",2019,0.0813824416750148
"410",88,"Talcahuano",2020,0.167643300135389
"411",88,"Talcahuano",2021,0.431603295408489
"412",89,"Taltal",2017,0.45257894800464
"413",89,"Taltal",2018,0.318428624461767
"414",89,"Taltal",2019,0.345743529946881
"415",89,"Taltal",2020,0.184872414937056
"416",89,"Taltal",2021,0.234905277324478
"417",92,"Tirua",2017,0.403093895823142
"418",92,"Tirua",2018,0.314007262263295
"419",92,"Tirua",2019,0.100306299630001
"420",92,"Tirua",2020,0.315906133548904
"421",92,"Tirua",2021,0.194990456161285
"422",93,"Tocopilla",2017,0.464479264330102
"423",93,"Tocopilla",2018,0.2519676471921
"424",93,"Tocopilla",2019,0.137946407567262
"425",93,"Tocopilla",2020,0.245572050886468
"426",93,"Tocopilla",2021,0.291427084751659
"427",94,"Tolten",2017,0.343873514116879
"428",94,"Tolten",2018,0.351180674957138
"429",94,"Tolten",2019,0.152142593612785
"430",94,"Tolten",2020,0.287961980063664
"431",94,"Tolten",2021,0.559826337147094
"432",95,"Tome",2017,0.281371950508375
"433",95,"Tome",2018,0.40110113491142
"434",95,"Tome",2019,0.111135839126309
"435",95,"Tome",2020,0.127628076287014
"436",95,"Tome",2021,0.0922210344557127
"437",97,"Tortel",2017,0.153081472612638
"438",97,"Tortel",2018,0.301173542525021
"439",97,"Tortel",2019,0.431989591806806
"440",97,"Tortel",2020,0.146245946216198
"441",97,"Tortel",2021,0.268482226387771
"442",98,"Treguaco",2017,0.079520316684131
"443",98,"Treguaco",2018,0.333333333333333
"444",98,"Treguaco",2019,0.00367912446152057
"445",98,"Treguaco",2020,0.00374898125509373
"446",98,"Treguaco",2021,0
"447",99,"Valdivia",2017,0.424513794246686
"448",99,"Valdivia",2018,0.299385995704512
"449",99,"Valdivia",2019,0.150502828913851
"450",99,"Valdivia",2020,0.0798681036991787
"451",99,"Valdivia",2021,0.110381930983678
"452",100,"Valparaiso",2017,0.408348215370153
"453",100,"Valparaiso",2018,0.135364442631306
"454",100,"Valparaiso",2019,0.0741272769962641
"455",100,"Valparaiso",2020,0.121259308104009
"456",100,"Valparaiso",2021,0.149656797741694
"457",101,"Vichuquen",2017,0.432254786867561
"458",101,"Vichuquen",2018,0.186031770810694
"459",101,"Vichuquen",2019,0.139321370830054
"460",101,"Vichuquen",2020,0.630028088628824
"461",101,"Vichuquen",2021,0.460944135140549
"462",102,"Vina del mar",2017,0.148459428678414
"463",102,"Vina del mar",2018,0.0959991336894419
"464",102,"Vina del mar",2019,0.166756569880242
"465",102,"Vina del mar",2020,0.450121391526714
"466",102,"Vina del mar",2021,0.491528972716536
"467",103,"Zapallar",2017,0.176122380152383
"468",103,"Zapallar",2018,0.370138567162993
"469",103,"Zapallar",2019,0.148147703366491
"470",103,"Zapallar",2020,0.0773986829281281
"471",103,"Zapallar",2021,0.109205612830822
