rgn_id,rgn_name,Year,Xao
69,PUCHUNCAVI,2018,37.01605262
69,PUCHUNCAVI,2019,12.89775664
69,PUCHUNCAVI,2020,47.88717827
69,PUCHUNCAVI,2021,23.21974268
70,PUERTO MONTT,2017,45.94050415
70,PUERTO MONTT,2018,22.31524726
70,PUERTO MONTT,2019,19.36171313
70,PUERTO MONTT,2020,25.48470631
70,PUERTO MONTT,2021,12.82621209
71,PUERTO VARAS,2017,51.05727991
71,PUERTO VARAS,2018,15.01347665
71,PUERTO VARAS,2019,22.10498152
71,PUERTO VARAS,2020,20.52368394
71,PUERTO VARAS,2021,14.69989052
72,PUNTA ARENAS,2017,55.40848147
72,PUNTA ARENAS,2018,59.52053857
72,PUNTA ARENAS,2019,45.37495518
72,PUNTA ARENAS,2020,51.33170428
72,PUNTA ARENAS,2021,20.58331893
73,PUQUELDON,2017,16.90019939
73,PUQUELDON,2018,17.6208363
73,PUQUELDON,2019,25.18893538
73,PUQUELDON,2020,22.86597163
73,PUQUELDON,2021,38.59725452
74,PURRANQUE,2017,17.42635668
74,PURRANQUE,2018,39.88087785
74,PURRANQUE,2019,16.4200856
74,PURRANQUE,2020,19.30865056
74,PURRANQUE,2021,2.649921249
75,QUEILEN,2017,16.70384879
75,QUEILEN,2018,28.79787807
75,QUEILEN,2019,16.52386539
75,QUEILEN,2020,48.71885488
75,QUEILEN,2021,35.52262114
76,QUELLON,2017,46.00560273
76,QUELLON,2018,18.3565296
76,QUELLON,2019,26.21032026
76,QUELLON,2020,23.09866195
76,QUELLON,2021,9.093925213
77,QUEMCHI,2017,55.8906807
77,QUEMCHI,2018,26.19797106
